2026-08-13T19:57:35.670+03:30 I (56081) shahbaz: state=1 usb=0 telemetry=0 SHT30=offline(err=3 i2c=4 fail=159 crc=0) MS5611=offline(err=3 i2c=5 fail=159 crc=0) rx=0 rx_drop=0 tx_drop=0 session_reject=0 stale_reject=0
2026-08-13T19:57:35.954+03:30 I (56320) gpio: GPIO[8]| InputEn: 1| OutputEn: 1| OpenDrain: 1| Pullup: 1| Pulldown: 0| Intr:0 
2026-08-13T19:57:35.954+03:30 I (56320) gpio: GPIO[9]| InputEn: 1| OutputEn: 1| OpenDrain: 1| Pullup: 1| Pulldown: 0| Intr:0 
2026-08-13T19:57:35.955+03:30 I (56351) gpio: GPIO[8]| InputEn: 1| OutputEn: 1| OpenDrain: 1| Pullup: 1| Pulldown: 0| Intr:0 
2026-08-13T19:57:35.955+03:30 I (56351) gpio: GPIO[9]| InputEn: 1| OutputEn: 1| OpenDrain: 1| Pullup: 1| Pulldown: 0| Intr:0 
2026-08-13T19:57:36.981+03:30 I (57362) gpio: GPIO[8]| InputEn: 1| OutputEn: 1| OpenDrain: 1| Pullup: 1| Pulldown: 0| Intr:0 
2026-08-13T19:57:36.981+03:30 I (57362) gpio: GPIO[9]| InputEn: 1| OutputEn: 1| OpenDrain: 1| Pullup: 1| Pulldown: 0| Intr:0 
2026-08-13T19:57:36.981+03:30 I (57393) gpio: GPIO[8]| InputEn: 1| OutputEn: 1| OpenDrain: 1| Pullup: 1| Pulldown: 0| Intr:0 
2026-08-13T19:57:36.981+03:30 I (57393) gpio: GPIO[9]| InputEn: 1| OutputEn: 1| OpenDrain: 1| Pullup: 1| Pulldown: 0| Intr:0 
2026-08-13T19:57:38.036+03:30 I (58404) gpio: GPIO[8]| InputEn: 1| OutputEn: 1| OpenDrain: 1| Pullup: 1| Pulldown: 0| Intr:0 
2026-08-13T19:57:38.037+03:30 I (58404) gpio: GPIO[9]| InputEn: 1| OutputEn: 1| OpenDrain: 1| Pullup: 1| Pulldown: 0| Intr:0 
2026-08-13T19:57:38.037+03:30 I (58435) gpio: GPIO[8]| InputEn: 1| OutputEn: 1| OpenDrain: 1| Pullup: 1| Pulldown: 0| Intr:0 
2026-08-13T19:57:38.037+03:30 I (58435) gpio: GPIO[9]| InputEn: 1| OutputEn: 1| OpenDrain: 1| Pullup: 1| Pulldown: 0| Intr:0 
